Namespace(ngpu_per_node=2, num_node=4, is_high_affinity=False, backend='distserve', workload='sharegpt', prefill_target=200, decode_target=100, prefill_percentage=90, decode_percentage=90, max_per_gpu_rate=5, esp=0.25, N=300, model_type='OPT-13B')
pp_cross	tp_prefill	pp_prefill	tp_decode	pp_decode	total_gpus	per_gpu_rate	total_throughput
1	1	1	1	1	2	0.47	0.94
2	1	1	1	1	4	0.31	1.25
4	1	1	1	1	8	0.00	0.00
Namespace(ngpu_per_node=4, num_node=4, is_high_affinity=False, backend='distserve', workload='sharegpt', prefill_target=200, decode_target=100, prefill_percentage=90, decode_percentage=90, max_per_gpu_rate=5, esp=0.25, N=300, model_type='OPT-13B')
pp_cross	tp_prefill	pp_prefill	tp_decode	pp_decode	total_gpus	per_gpu_rate	total_throughput
1	1	2	1	1	3	0.47	1.41
1	1	1	2	1	3	0.31	0.94
1	1	2	2	1	4	0.31	1.25
1	1	1	1	1	2	0.47	0.94
1	1	2	1	2	4	0.31	1.25
1	1	1	1	2	3	0.31	0.94
1	2	1	1	1	3	1.56	4.69
1	2	1	2	1	4	1.09	4.38
1	2	1	1	2	4	1.09	4.38
2	1	1	1	1	4	0.31	1.25
2	1	1	2	1	6	0.16	0.94
2	1	2	1	1	6	0.00	0.00
2	2	1	1	1	6	1.56	9.38
2	1	2	2	1	8	0.00	0.00
2	1	1	1	2	6	0.16	0.94
2	2	1	2	1	8	1.25	10.00
2	2	1	1	2	8	1.25	10.00
2	1	2	1	2	8	0.00	0.00
4	1	1	1	1	8	0.00	0.00
4	1	1	2	1	12	0.00	0.00
4	1	2	1	1	12	0.00	0.00
4	1	2	2	1	16	0.00	0.00
4	2	1	1	1	12	1.41	16.88
4	1	1	1	2	12	0.00	0.00
4	1	2	1	2	16	0.00	0.00
4	2	1	2	1	16	0.94	15.00
4	2	1	1	2	16	0.94	15.00
Namespace(ngpu_per_node=2, num_node=5, is_high_affinity=False, backend='distserve', workload='sharegpt', prefill_target=200, decode_target=100, prefill_percentage=90, decode_percentage=90, max_per_gpu_rate=5, esp=0.25, N=300, model_type='OPT-13B')
pp_cross	tp_prefill	pp_prefill	tp_decode	pp_decode	total_gpus	per_gpu_rate	total_throughput
1	1	1	1	1	2	0.47	0.94
2	1	1	1	1	4	0.31	1.25
5	1	1	1	1	10	0.00	0.00
4	1	1	1	1	8	0.00	0.00
Namespace(ngpu_per_node=4, num_node=5, is_high_affinity=False, backend='distserve', workload='sharegpt', prefill_target=200, decode_target=100, prefill_percentage=90, decode_percentage=90, max_per_gpu_rate=5, esp=0.25, N=300, model_type='OPT-13B')
pp_cross	tp_prefill	pp_prefill	tp_decode	pp_decode	total_gpus	per_gpu_rate	total_throughput
1	1	2	2	1	4	0.31	1.25
1	1	2	1	1	3	0.47	1.41
1	1	1	2	1	3	0.31	0.94
1	1	1	1	1	2	0.47	0.94
1	1	2	1	2	4	0.31	1.25
1	1	1	1	2	3	0.31	0.94
1	2	1	1	1	3	1.56	4.69
1	2	1	2	1	4	1.09	4.38
1	2	1	1	2	4	1.09	4.38
2	1	1	1	1	4	0.31	1.25
2	1	1	2	1	6	0.16	0.94
2	1	2	1	1	6	0.00	0.00
2	2	1	1	1	6	1.56	9.38
2	1	2	2	1	8	0.00	0.00
2	1	1	1	2	6	0.16	0.94
2	1	2	1	2	8	0.00	0.00
2	2	1	2	1	8	1.25	10.00
2	2	1	1	2	8	1.25	10.00
4	1	1	1	1	8	0.00	0.00
4	1	2	1	1	12	0.00	0.00
4	1	1	2	1	12	0.00	0.00
4	1	2	2	1	16	0.00	0.00
4	1	1	1	2	12	0.00	0.00
4	2	1	1	1	12	1.41	16.88
4	1	2	1	2	16	0.00	0.00
4	2	1	2	1	16	0.94	15.00
5	1	1	1	1	10	0.00	0.00
4	2	1	1	2	16	0.94	15.00
5	1	1	2	1	15	0.00	0.00
5	2	1	1	1	15	1.09	16.41
5	2	1	2	1	20	0.78	15.62
